Source,Target
0486272982,1788002458
0486272982,1589239539
0486272982,B07VDCVN3T
0486272982,1906525803
0486272982,1552979393
0486272982,164611311X
1552979393,0486272982
1552979393,0486781623
1552979393,1906525803
1552979393,1631065904
1552979393,1631596551
1552979393,1087487994
B07VDCVN3T,0486272982
B07VDCVN3T,1589239539
B07VDCVN3T,B083J64NSH
B07VDCVN3T,B000EX2OQG
B07VDCVN3T,B087CW7G1T
B07VDCVN3T,1906525803
164611311X,0486272982
164611311X,1788002458
164611311X,1589239539
164611311X,B07VDCVN3T
164611311X,1906525803
164611311X,1782214747
1589239539,1788002458
1589239539,0486272982
1589239539,B07VDCVN3T
1589239539,164611311X
1589239539,0804841918
1589239539,1782214747
1788002458,1589239539
1788002458,0486272982
1788002458,1782494227
1788002458,0804841918
1788002458,1907563563
1788002458,1631065904
1906525803,1788002458
1906525803,0486272982
1906525803,1631065904
1906525803,B07VDCVN3T
1906525803,164611311X
1906525803,1782494227
B087CW7G1T,B07VDCVN3T
B087CW7G1T,1788002458
B087CW7G1T,B00B9DR456
B087CW7G1T,B000EX2OQG
B087CW7G1T,B07ZJCQ93G
B087CW7G1T,B083J64NSH
0804841918,1788002458
0804841918,1782214747
0804841918,1911127101
0804841918,0804845433
0804841918,1631061976
0804841918,4805313935
1631596551,1782214747
1631596551,164611311X
1631596551,1631065904
1631596551,0486272982
1631596551,0804841918
1631596551,1589239539
1782494227,1788002458
1782494227,1631065904
1782494227,1907563563
1782494227,1906525803
1782494227,164611311X
1782494227,B086MKBGT5
1907563563,1788002458
1907563563,1782494227
1907563563,1785952854
1907563563,1906525803
1907563563,B086MKBGT5
1907563563,0486781623
B083J64NSH,B07VDCVN3T
B083J64NSH,1788002458
B083J64NSH,B000EX2OQG
B083J64NSH,1906525803
B083J64NSH,B087CW7G1T
1782214747,1788002458
1782214747,164611311X
1782214747,0804841918
1782214747,1782497951
1782214747,1631061976
1782214747,1091989796
1631065904,1782494227
1631065904,1788002458
1631065904,B07VDCVN3T
1631065904,1906525803
1631065904,1911127101
1631065904,B086MKBGT5
0486781623,1788002458
0486781623,B086MKBGT5
0486781623,0486498190
0486781623,0486272982
0486781623,1782494227
0486781623,164611311X
1087487994,0486272982
1087487994,1906525803
1087487994,1409581950
1087487994,1782496718
1087487994,1785952854
1087487994,B086MKBGT5
B000EX2OQG,B07VDCVN3T
B000EX2OQG,0486272982
B000EX2OQG,1906525803
B000EX2OQG,1788002458
B000EX2OQG,164611311X
1782497951,1782214747
1782497951,1788002458
1782497951,0804841918
1782497951,1589239539
1782497951,080484190X
1782497951,1631065904
4805313935,0804841918
4805313935,1782214747
4805313935,0486258378
4805313935,0804848076
4805313935,1911127101
4805313935,0804845433
B086MKBGT5,B07VDCVN3T
B086MKBGT5,0486272982
B086MKBGT5,164611311X
B086MKBGT5,1906525803
B086MKBGT5,1788002458
0486498190,1788002458
0486498190,0486781623
0486498190,1782496335
0486498190,1782494669
0486498190,1785952854
0486498190,1906525803
1782496718,0486272982
1782496718,1906525803
1782496718,B086MKBGT5
1782496718,1785952854
1782496718,1409581950
1782496718,1782494227
1409581950,1788002458
1409581950,1906525803
1409581950,0486272982
1409581950,B000EX2OQG
1409581950,164611311X
1409581950,1589239539
1631061976,0804841918
1631061976,1782214747
1631061976,1788002458
1631061976,1911127101
1631061976,164611311X
1631061976,1935654403
1785952854,0486272982
1785952854,1409581950
1785952854,1087487994
1785952854,B086MKBGT5
1785952854,1782496718
1785952854,1907563563
B07ZJCQ93G,B0749MFHBY
B07ZJCQ93G,B074S4VVSB
B07ZJCQ93G,B00B9DR456
B07ZJCQ93G,B07ZK9GXHH
B07ZJCQ93G,B07SQJGCDM
B07ZJCQ93G,B074RZC1PP
1091989796,1782214747
1091989796,164611311X
1091989796,1788002458
1091989796,0804841918
1091989796,0486272982
1091989796,1906525803
B00B9DR456,B0749MFHBY
B00B9DR456,B006HWTVB4
B00B9DR456,B07SQJGCDM
B00B9DR456,B07ZJCQ93G
B00B9DR456,B074RZC1PP
B00B9DR456,B00CNO07FE
0804845433,0804841918
0804845433,1782214747
0804845433,080484190X
0804845433,164611311X
0804845433,1091989796
0804845433,1631596551
1911127101,1788002458
1911127101,0804841918
1911127101,1782214747
1911127101,1631061976
1911127101,6059192793
1911127101,1782497951
B0749MFHBY,B006HWTVB4
B0749MFHBY,B074S4VVSB
B0749MFHBY,B00B9DR456
B0749MFHBY,B074RZC1PP
B0749MFHBY,B07ZJCQ93G
B0749MFHBY,B00CNO07FE
1935654403,1788002458
1935654403,0804841918
1935654403,1782214747
1935654403,1589239539
1935654403,1631061976
1935654403,B01MSYN0ZJ
B00CNO07FE,B0749MFHBY
B00CNO07FE,B00B9DR456
B00CNO07FE,B074RZC1PP
B00CNO07FE,B074FRKC6Y
B00CNO07FE,B07ZK9GXHH
B00CNO07FE,B074S4VVSB
0486258378,1782214747
0486258378,0486272982
0486258378,1589239539
0486258378,1788002458
