Source,Target
147363749X,1783962437
147363749X,1784708283
147363749X,1529387159
147363749X,0141979097
147363749X,1783963387
147363749X,8423429962
8423429962,147363749X
8423429962,1529387159
8423429962,1783962437
8423429962,8416863482
8423429962,B07S89B8CC
8423429962,2081427117
1783963387,1783962437
1783963387,147363749X
1783963387,1783963972
1783963387,1783963034
1783963387,1780334915
1783963387,0198841345
1529387159,147363749X
1529387159,8423429962
1529387159,8416863482
1529387159,0008275793
1529387159,1911130374
1529387159,2081427117
0141979097,147363749X
0141979097,0141034645
0141979097,014027605X
0141979097,0241957710
0141979097,014198077X
0141979097,0141015470
1783962437,147363749X
1783962437,0099590085
1783962437,1783964138
1783962437,1783964456
1783962437,1783963972
1783962437,1783963034
1784708283,1784703931
1784708283,0099590085
1784708283,1408898934
1784708283,1783962437
1784708283,147363749X
1784708283,0141033576
