Source,Target
147363749X,1783962437
147363749X,1784708283
147363749X,1780334915
147363749X,0141979097
147363749X,1529387159
147363749X,1783963980
1784708283,1784703931
1784708283,0099590085
1784708283,1783962437
1784708283,1408898934
1784708283,147363749X
1784708283,0141033576
1529387159,147363749X
1529387159,8423429962
1529387159,8416863482
1529387159,0008275793
1529387159,195028462X
1529387159,1911130374
1780334915,1783962437
1780334915,147363749X
1780334915,1783963980
1780334915,1783963972
1780334915,0198841345
1780334915,0099572494
0141979097,147363749X
0141979097,0141034645
0141979097,014027605X
0141979097,0241957710
0141979097,014198077X
0141979097,0141015470
1783962437,1784708283
1783962437,147363749X
1783962437,1783964138
1783962437,1783963034
1783962437,1783964456
1783962437,1783963972
1783963980,1783962437
1783963980,147363749X
1783963980,1783963972
1783963980,1780334915
1783963980,1783963034
1783963980,0099572494
1911130374,1857028899
1911130374,0470591005
1911130374,0486247619
1911130374,1899618538
1911130374,1681195143
1911130374,0008275793
1408898934,1408870584
1408898934,1408893215
1408898934,1784708283
1408898934,0099590085
1408898934,192805563X
1408898934,0316471917
0099590085,1784703931
0099590085,1784708283
0099590085,1783962437
0099590085,1408898934
0099590085,0141033576
0099590085,0099302780
8423429962,147363749X
8423429962,1529387159
8423429962,1783962437
8423429962,1784708283
8423429962,8416863482
8423429962,B07S89B8CC
195028462X,147363749X
195028462X,1529387159
195028462X,1783962437
195028462X,8423429962
195028462X,9000351227
195028462X,3548060412
0241957710,0141979097
0241957710,9389157129
0241957710,014198077X
0241957710,0141034645
0241957710,0060891548
0241957710,014027605X
1783964456,1783963972
1783964456,1783963034
1783964456,1783962437
1783964456,1847394574
1783964456,1783964138
1783964456,1783960604
014027605X,0141979097
014027605X,0141034645
014027605X,014198077X
014027605X,0141039167
014027605X,0241957710
014027605X,0141986301
1783964138,1783962437
1783964138,1783963034
1783964138,1783963972
1783964138,1846276616
1783964138,1783964456
1783964138,1501183915
0099572494,1783963972
0099572494,0241281113
0099572494,1783963980
0099572494,1784705438
0099572494,1780334915
0099572494,0099535475
1783963034,1783962437
1783963034,1783963972
1783963034,1783964456
1783963034,1783964138
1783963034,1783963980
1783963034,1501183915
0141033576,1847946240
0141033576,0099590085
0141033576,006124189X
0141033576,0141040017
0141033576,0007256531
0141033576,1912453053
0198841345,147363749X
0198841345,1780334915
0198841345,0099572494
0198841345,1783963980
0198841345,1846276489
0198841345,1783963972
1784703931,0099590085
1784703931,1784708283
1784703931,1784874027
1784703931,6055029634
1784703931,194554094X
1784703931,0141981806
014198077X,0099505576
014198077X,0241957710
014198077X,0099460254
014198077X,0141015470
